Date,Food,Category
2025-03-16,Mushroom,Vegetables
2025-03-16,Mango,Fruit
2025-03-16,Brazil Nut,Other
2025-03-16,Rice,Other
2025-03-16,Broccoli,Vegetables
2025-03-17,Oats,Other
2025-03-17,Oats,Other
2025-03-17,Hazelnut,Other
2025-03-17,Chocolate,Other
2025-03-18,Oats,Other
2025-03-18,Cherries,Fruit
2025-03-18,Blueberries,Fruit
2025-03-18,Strawberries,Fruit
2025-03-18,Peanut,Other
2025-03-18,Pumpkin Seed,Other
2025-03-18,Almond,Other
2025-03-19,Avocado,Fruit
2025-03-19,Cucumber,Vegetables
2025-03-19,Tomato,Vegetables
2025-03-20,Banana,Fruit
2025-03-20,Walnut,Other
2025-03-20,Cranberries,Fruit
2025-03-20,Oats,Other
2025-03-20,Chocolate,Other
2025-03-20,Pistachio,Other
2025-03-20,Sunflower Seed,Other
2025-03-20,Chocolate,Other
2025-03-20,Excluded,
2025-03-20,Oats,Other
2025-03-21,Avocado,Fruit
2025-03-21,Excluded,
2025-03-21,Excluded,
2025-03-21,Excluded,
2025-03-22,Apple,Fruit
2025-03-22,Coffee,Other
2025-03-22,Kimchi,Other
2025-03-22,Pak Choi,Vegetables
2025-03-22,Chocolate,Other
2025-03-23,Chocolate,Other
2025-03-23,Almond,Other
2025-03-23,Coffee,Other
2025-03-23,Coffee,Other
2025-03-23,Sweet Potato,Vegetables
2025-03-23,Peanut,Other
2025-03-23,Rice,Other
2025-03-23,Chocolate,Other
2025-03-23,Excluded,
2025-03-24,Pumpkin Seed,Other
2025-03-24,Blueberries,Fruit
2025-03-24,Cherries,Fruit
2025-03-24,Raspberries,Fruit
2025-03-24,Oats,Other
2025-03-24,Peanut,Other
2025-03-24,Grape,Fruit
2025-03-24,Coffee,Other
2025-03-24,Chocolate,Other
2025-03-24,Brazil Nut,Other
2025-03-24,Blackberries,Fruit
2025-03-24,Flaxseed,Other
2025-03-24,Rice,Other
2025-03-24,Kidney Bean,Other
2025-03-24,Grape,Fruit
2025-03-25,Avocado,Fruit
2025-03-25,Coffee,Other
2025-03-25,Chocolate,Other
2025-03-25,Hazelnut,Other
2025-03-25,Rice,Other
2025-03-25,Almond,Other
2025-03-25,Tomato,Vegetables
2025-03-25,Excluded,
2025-03-25,Chocolate,Other
2025-03-26,Apple,Fruit
2025-03-26,Coffee,Other
2025-03-26,Oats,Other
2025-03-26,Strawberries,Fruit
2025-03-26,Sunflower Seed,Other
2025-03-26,Banana,Fruit
2025-03-26,Chocolate,Other
2025-03-26,Pistachio,Other
2025-03-26,Potato,Vegetables
2025-03-26,Excluded,
2025-03-27,Excluded,
2025-03-27,Coffee,Other
2025-03-27,Blueberries,Fruit
2025-03-27,Oats,Other
2025-03-27,Cranberries,Fruit
2025-03-27,Walnut,Other
2025-03-27,Mango,Fruit
2025-03-27,Almond,Other
2025-03-27,Chocolate,Other
2025-03-28,Oats,Other
2025-03-28,Apple,Fruit
2025-03-28,Coffee,Other
2025-03-28,Excluded,
2025-03-28,Excluded,
2025-03-29,Mushroom,Vegetables
2025-03-29,Excluded,
2025-03-29,Coffee,Other
2025-03-29,Brazil Nut,Other
2025-03-29,Chocolate,Other
2025-03-29,Pear,Fruit
2025-03-29,Rice,Other
2025-03-30,Coffee,Other
2025-03-30,Walnut,Other
2025-03-30,Chocolate,Other
2025-03-30,Banana,Fruit
2025-03-30,Potato,Vegetables
2025-03-30,Broccoli,Vegetables
2025-03-30,Excluded,
2025-03-31,Oats,Other
2025-03-31,Coffee,Other
2025-03-31,Cherries,Fruit
2025-03-31,Raspberries,Fruit
2025-03-31,Pumpkin Seed,Other
2025-03-31,Peanut,Other
2025-03-31,Grape,Fruit
2025-03-31,Coffee,Other
2025-03-31,Chocolate,Other
2025-03-31,Pistachio,Other
2025-03-31,Excluded,
2025-04-01,Chocolate,Other
2025-04-01,Hazelnut,Other
2025-04-01,Coffee,Other
2025-04-01,Strawberries,Fruit
2025-04-01,Blackberries,Fruit
2025-04-01,Sunflower Seed,Other
2025-04-01,Oats,Other
2025-04-01,Cranberries,Fruit
2025-04-01,Rice,Other
2025-04-01,Excluded,
2025-04-01,Almond,Other
2025-04-01,Onion,Vegetables
2025-04-01,Chocolate,Other
2025-04-01,Almond,Other
2025-04-02,Avocado,Fruit
2025-04-02,Apple,Fruit
2025-04-02,Coffee,Other
2025-04-02,Haricot Bean,Other
2025-04-02,Tomato,Vegetables
2025-04-03,Avocado,Fruit
2025-04-03,Coffee,Other
2025-04-03,Popcorn,Other
2025-04-03,Excluded,
2025-04-03,Rice,Other
2025-04-03,Tomato,Vegetables
2025-04-04,Coffee,Other
2025-04-04,Melon,Fruit
2025-04-04,Flaxseed,Other
2025-04-04,Banana,Fruit
2025-04-04,Blueberries,Fruit
2025-04-04,Brazil Nut,Other
2025-04-04,Chocolate,Other
2025-04-04,Pepper,Vegetables
2025-04-04,Chocolate,Other
2025-04-05,Coffee,Other
2025-04-05,Mushroom,Vegetables
2025-04-05,Pear,Fruit
2025-04-05,Pistachio,Other
2025-04-05,Chocolate,Other
2025-04-05,Sweet Potato,Vegetables
2025-04-06,Coffee,Other
2025-04-06,Rice,Other
2025-04-06,Onion,Vegetables
2025-04-06,Excluded,
2025-04-07,Oats,Other
2025-04-07,Cherries,Fruit
2025-04-07,Raspberries,Fruit
2025-04-07,Peanut,Other
2025-04-07,Peanut,Other
2025-04-07,Pumpkin Seed,Other
2025-04-07,Coffee,Other
2025-04-07,Walnut,Other
2025-04-07,Chocolate,Other
2025-04-08,Almond,Other
2025-04-08,Chocolate,Other
2025-04-08,Coffee,Other
2025-04-08,Oats,Other
2025-04-08,Strawberries,Fruit
2025-04-08,Blackberries,Fruit
2025-04-08,Sunflower Seed,Other
2025-04-08,Cranberries,Fruit
2025-04-08,Rice,Other
2025-04-08,Excluded,
2025-04-08,Sweetcorn,Vegetables
2025-04-09,Banana,Fruit
2025-04-09,Coffee,Other
2025-04-09,Haricot Bean,Other
2025-04-09,Chocolate,Other
2025-04-09,Hazelnut,Other
