Food,Category,Last_Date_Eaten,Days_Since_Eaten,Total_Count,Todoist_Priority
Chocolate,Other,2026-01-26,15,145,4
Potato,Vegetables,2026-01-18,23,54,4
Banana,Fruit,2026-01-14,27,50,4
Avocado,Fruit,2026-02-03,7,45,4
Pumpkin Seed,Other,2026-02-04,6,45,4
Tomato,Vegetables,2026-01-28,13,40,4
Onion,Vegetables,2026-02-03,7,40,4
Raspberries,Fruit,2026-01-26,15,39,4
Brazil Nut,Other,2026-02-01,9,38,4
Blackberries,Fruit,2026-02-04,6,38,4
Mushroom,Vegetables,2026-01-18,23,37,4
Hazelnut,Other,2026-02-02,8,35,4
Walnut,Other,2026-02-03,7,35,4
Cranberries,Fruit,2026-02-04,6,35,4
Pistachio,Other,2026-02-01,9,33,4
Sweet Potato,Vegetables,2026-01-28,13,32,4
Pepper,Vegetables,2026-02-03,7,32,4
Apple,Fruit,2026-01-18,23,27,4
Haricot Bean,Other,2026-01-29,12,23,4
Carrot,Vegetables,2026-01-18,23,22,4
Flaxseed,Other,2026-01-05,36,19,4
Mango,Fruit,2026-01-05,36,16,4
Popcorn,Other,2026-01-16,25,14,4
Pecan,Other,2026-01-28,13,11,4
Cucumber,Vegetables,2025-12-01,71,10,4
Melon,Fruit,2026-01-03,38,10,4
Watermelon,Fruit,2026-01-05,36,10,4
Sweetcorn,Vegetables,2025-11-14,88,9,4
Kiwi,Fruit,2025-12-06,66,8,4
Edamame,Other,2026-01-08,33,7,4
Kidney Bean,Other,2026-01-28,13,7,4
Lentils,Other,2026-01-28,13,6,4
Pak Choi,Vegetables,2025-11-13,89,6,4
Parsnip,Vegetables,2025-12-25,47,6,4
Aubergine,Vegetables,2025-12-20,52,5,4
Cabbage,Vegetables,2025-07-07,218,5,4
Pear,Fruit,2025-07-03,222,5,4
Pinto Beans,Other,2025-09-26,137,5,4
Chickpea,Other,2026-01-17,24,4,4
Green Beans,Vegetables,2026-01-10,31,4,4
Peas,Vegetables,2026-01-01,40,4,4
Prunes,Fruit,2025-08-14,180,4,4
Grapefruit,Fruit,2025-07-02,223,3,4
Nectarine,Fruit,2025-07-03,222,3,4
Olive,Vegetables,2025-11-17,85,3,4
Spinach,Vegetables,2026-01-23,18,3,4
Spring Onion,Vegetables,2025-10-20,113,3,4
Brussels Sprout,Vegetables,2025-12-01,71,2,4
Courgette,Vegetables,2025-12-20,52,2,4
Kale,Vegetables,2026-02-01,9,2,4
Kimchi,Other,2025-04-25,291,2,4
Beetroot,Vegetables,2025-07-05,220,1,4
Orange,Fruit,2025-06-28,227,1,4
Pine Nut,Other,2025-12-13,59,1,4
Turnip,Vegetables,2026-01-01,40,1,4
Artichoke,Vegetables,,999,0,4
Beansprouts,Vegetables,,999,0,4
Cauliflower,Vegetables,,999,0,4
Celery,Vegetables,,999,0,4
Dates,Fruit,,999,0,4
Dragonfruit,Fruit,,999,0,4
Fig,Fruit,,999,0,4
Lambs Lettuce,Vegetables,,999,0,4
Passion Fruit,Fruit,,999,0,4
Pomegranate,Fruit,,999,0,4
Quinoa,Other,,999,0,4
Red cabbage,Vegetables,,999,0,4
Rocket,Vegetables,,999,0,4
Rosa verde,Vegetables,,999,0,4
Rice,Other,2026-02-07,3,83,2
Black Beans,Other,2026-02-07,3,1,2
Coffee,Other,2026-02-09,1,176,1
Oats,Other,2026-02-09,1,85,1
Peanut,Other,2026-02-09,1,54,1
Almond,Other,2026-02-09,1,53,1
Blueberries,Fruit,2026-02-09,1,47,1
Strawberries,Fruit,2026-02-09,1,40,1
Sunflower Seed,Other,2026-02-09,1,40,1
Broccoli,Vegetables,2026-02-09,1,39,1
Cherries,Fruit,2026-02-09,1,29,1
Coconut,Other,2026-02-09,1,28,1
Grape,Fruit,2026-02-09,1,23,1
